robl hsd
0.04761904761904761 15.347647947043962
0.15549076773566567 14.203087792723604
0.2633624878522837 13.058527638403246
0.37123420796890183 11.913967484082889
0.4791059280855199 10.769407329762531
0.5869776482021379 9.624847175442174
0.694849368318756 8.480287021121814
0.802721088435374 7.335726866801458
0.9105928085519921 6.191166712481101
1.01846452866861 5.046606558160743
1.1263362487852282 3.9020464038403855
1.2342079689018461 2.757486249520028
1.3420796890184645 1.6129260951996685
1.4499514091350825 0.4683659408793126
1.5578231292517006 -0.676194213441045
1.6656948493683186 -1.8207543677614009
1.7735665694849367 -2.9653145220817603
1.881438289601555 -4.10987467640212
1.9893100097181728 -5.2544348307224755
2.097181729834791 -6.398994985042835
2.205053449951409 -7.543555139363191
2.312925170068027 -8.68811529368355
2.420796890184645 -9.832675448003906
2.528668610301263 -10.977235602324265
2.636540330417881 -12.121795756644625
2.7444120505344993 -13.266355910964984
2.852283770651117 -14.410916065285337
2.960155490767735 -15.555476219605696
3.0680272108843534 -16.700036373926054
3.1758989310009715 -17.844596528246413
3.2837706511175893 -18.989156682566765
3.3916423712342074 -20.133716836887125
3.4995140913508256 -21.278276991207484
3.6073858114674437 -22.422837145527843
3.715257531584062 -23.567397299848203
3.8231292517006796 -24.711957454168555
3.931000971817298 -25.856517608488915
4.038872691933916 -27.001077762809274
4.146744412050534 -28.145637917129633
4.254616132167151 -29.290198071449986
4.3624878522837705 -30.434758225770345
4.470359572400389 -31.579318380090704
4.578231292517007 -32.723878534411064
4.686103012633625 -33.86843868873142
4.793974732750242 -35.012998843051776
4.90184645286686 -36.157558997372135
5.0097181729834785 -37.302119151692494
5.117589893100097 -38.446679306012854
5.225461613216715 -39.59123946033321
5.333333333333332 -40.73579961465357
