loc robl count
0.7734224965706447 6.304526748971194 81
0.4846841972495346 14.17965367965368 231
0.2812297384189744 32.416909620991255 343
0.15709085882390122 75.95058823529412 425
0.1142296600969041 119.61176470588235 255
0.23931845253995704 43.27249357326478 389
0.12624681820244235 98.40489130434783 368
0.19876498824309097 55.149397590361446 415
0.11082659228558561 136.69014084507043 213
0.09242548210927364 206.1184210526316 76
0.14082052220467017 86.9294710327456 397
0.11784191147572216 108.39261744966443 298
0.17222125988909245 66.10765550239235 418
0.11687736836762956 316.77777777777777 18
0.13469085756028298 258.0 27
0.1084173327574249 151.93630573248407 157
0.10277971827442232 220.67241379310346 58
0.13033354318916285 275.6666666666667 21
0.09956754186936133 188.74666666666667 75
0.10589412557110392 164.00833333333333 120
0.0929965905830165 237.45454545454547 55
0.11181231054544367 175.17777777777778 90
0.11954858173667464 336.0833333333333 12
0.1476226430992556 473.0 8
0.1367905752579203 363.6666666666667 12
0.11713535054951373 414.53846153846155 13
0.06518686384458196 454.0 3
0.0 1001.0 1
0.06997666661881313 747.6666666666666 3
0.10066186526170535 305.5 16
0.004797806716929404 1459.0 1
0.1488989467091601 439.375 8
0.11956582335692136 402.7142857142857 7
0.14045456546548682 768.5 2
0.12718307737808593 287.35 20
0.11568518685526241 350.25 8
0.0015220700152207 657.0 1
0.07643818030281849 508.4 5
0.021997621878715814 1682.0 1
0.008682328907048007 1958.0 1
0.0 855.0 1
0.12241170096044507 563.1666666666666 6
0.15386326373320589 641.0 5
0.144793152639087 1402.0 1
0.45417515274949083 491.0 1
0.11895190121210082 612.6 5
0.11765879278222485 536.0 6
0.11101243339253997 1126.0 1
0.1342031686859273 1073.0 1
0.09710283385642915 720.5 4
0.07060422225769912 810.5 4
0.11237727910238429 740.0 2
0.07465495608531995 801.5 2
0.13284781687137162 373.1 10
0.13872917554722067 583.6666666666666 3
0.0882934381593944 946.0 3
0.17740936133769422 432.2857142857143 7
0.12559467174119887 1051.0 1
0.09111826784510771 703.25 4
0.1417624521072797 783.0 1
0.05085714285714286 870.5 2
0.13586926676039013 603.5 2
0.07738033399994805 555.0 2
0.07747352088007751 384.25 4
0.14116485686080948 1013.0 1
0.07366771159874608 953.5 2
0.08736156033971489 246.91666666666666 12
0.07748538011695906 684.0 1
