robl hse
0.0505173376041476 18758.762015320302
0.15832990894555954 15936.739267991934
0.2661424802869715 13114.716520663565
0.37395505162838344 10292.693773335197
0.48176762296979536 7470.67102600683
0.5895801943112072 4648.648278678462
0.6973927656526192 1826.6255313500915
0.8052053369940312 -995.3972159782752
0.913017908335443 -3817.419963306642
1.020830479676855 -6639.442710635009
1.128643051018267 -9461.465457963379
1.2364556223596788 -12283.488205291746
1.344268193701091 -15105.51095262012
1.4520807650425027 -17927.53369994848
1.5598933363839147 -20749.556447276853
1.6677059077253265 -23571.579194605212
1.7755184790667387 -26393.601941933586
1.8833310504081506 -29215.62468926196
1.9911436217495624 -32037.64743659032
2.0989561930909746 -34859.67018391869
2.206768764432386 -37681.69293124706
2.3145813357737985 -40503.71567857543
2.42239390711521 -43325.73842590379
2.530206478456622 -46147.76117323217
2.6380190497980345 -48969.78392056054
2.7458316211394465 -51791.8066678889
2.853644192480858 -54613.82941521726
2.96145676382227 -57435.852162545634
3.0692693351636824 -60257.87490987401
3.1770819065050944 -63079.89765720238
3.284894477846506 -65901.92040453073
3.392707049187918 -68723.9431518591
3.50051962052933 -71545.96589918747
3.608332191870742 -74367.98864651585
3.7161447632121543 -77190.01139384422
3.8239573345535653 -80012.03414117258
3.9317699058949778 -82834.05688850094
4.039582477236389 -85656.07963582932
4.147395048577802 -88478.10238315769
4.255207619919213 -91300.12513048605
4.363020191260626 -94122.14787781442
4.470832762602037 -96944.17062514278
4.57864533394345 -99766.19337247116
4.686457905284861 -102588.21611979953
4.794270476626273 -105410.23886712789
4.902083047967685 -108232.26161445626
5.0098956193090975 -111054.28436178464
5.117708190650509 -113876.307109113
5.2255207619919215 -116698.32985644139
5.333333333333333 -119520.35260376974
