robl cl_ratio count
0.013621221405317505 0.04275412694049686 973
0.02493178554387543 0.2936606409806788 662
0.020803582732677014 0.48921702393790123 155
0.025456946308124343 0.08392856730756104 2468
0.08330698438625585 0.14137936643735563 2432
0.028519490908597178 0.1726167498700977 1841
0.26339515538385494 0.3259211193233374 378
0.12363120904280303 0.2974816504254432 889
0.08975156539748477 0.6264985657154825 83
0.322467937435843 0.4447738297574729 193
0.1668479427693397 0.2136078014089765 862
0.021643816745790394 0.40254015140942073 267
0.10693099548065378 0.20771517758321517 2082
0.1396230307501779 0.4147560753441448 326
0.32178967510532497 1.1656242243609616 13
0.013004719403834063 0.7437645055145945 47
0.017484821378467262 0.6595931591313888 59
0.1429438616938617 1.2631604506604506 4
0.015509259259259259 1.0091349902534112 9
0.0 1.249612887112887 8
0.6037542623068939 0.6962526224587626 18
0.4986556292819909 0.6604127195291201 27
0.43959984291506726 0.5398072665997258 46
0.2094647241823495 0.35448352830150537 488
0.01197480425421602 0.8336960339919809 37
0.0 1.3399456548353608 8
0.0 2.0 1
0.10524863617268063 0.8241831298643866 31
0.3540409589642042 0.5341856417282955 87
0.13865301365301366 1.5128871128871129 5
0.17362304177786797 0.8201252094060246 29
0.2857142857142857 2.5238095238095237 1
0.5336700336700336 2.476430976430976 3
0.2800533043734006 0.6324317172568896 73
0.17266747590933043 0.9919586866101424 14
0.536308448681117 0.5749118359175637 14
0.006722689075630252 1.146462794097065 14
0.17085999761752263 0.5046048755416301 185
0.125 2.625 1
0.09148195949583264 0.5341380392470735 151
0.3940829708649677 0.6668008853550157 38
0.26678940945536767 0.5362648334966772 133
0.0 2.5 2
0.35914323469351556 0.4074136884242517 107
0.460720944545473 0.8659944077173538 16
0.41948580278099734 1.0346455914343025 9
0.3489480171981893 0.8396409411871493 26
0.0 4.0 1
0.5 1.2638888888888888 2
0.009615384615384616 1.6905178155178155 4
0.1889874578597637 0.6060812132929453 88
1.0 2.8 1
0.25 3.0 1
0.21680457473560916 1.1933876468359226 13
0.08333333333333333 2.0 1
1.0 1.75 1
0.6654545454545454 1.2074747474747476 5
0.593519017293527 0.8475794448833663 9
0.007936507936507936 1.4292755991285404 6
0.0 31.0 1
0.0 20.5 1
