nobl cl_ratio count
0.0 0.26581830257086814 242
0.1557502698923417 0.8498664205621657 383
0.23732918842136555 1.9742065665672481 250
0.26998564657048546 9.0 196
0.26494562965130647 6.0 221
0.2517965979632897 2.9945814648729447 223
0.26591933626611686 4.0 237
0.2660103437625207 5.0 232
0.2362981315980454 8.0 203
0.23830216132065024 7.0 213
0.18814144306620162 11.0 111
0.8208909617512893 1.9826314258132445 99
0.20327509949997022 10.0 131
0.6021258782519919 1.0614469332883654 115
0.15504921596803473 18.0 9
2.422991822991823 6.0 6
2.158612677527151 5.0 8
0.436050418634543 7.0 122
0.38576247207525416 8.0 141
0.21750069808433795 12.0 79
0.25000267079299004 14.0 41
0.530027107359181 5.0 112
0.8350200724995901 6.0 40
0.24433922693109003 15.0 31
0.1923627357758574 13.0 49
0.5028695471378754 10.0 44
0.4848793703732983 11.0 36
0.5518442191783153 16.0 8
1.7751633986928104 8.0 3
0.8421536896064946 2.997309658326607 59
0.32777529630119556 13.0 31
2.0028822055137843 4.0 7
1.5767388861138862 2.046875 16
1.848412934197248 2.9506944444444443 12
1.0431714739314855 3.9820261437908497 34
0.2506848663151997 16.0 19
2.729166666666667 3.0 2
5.0 11.0 1
2.5359477124183005 7.0 2
2.9 13.0 2
2.7706841432225064 11.933333333333334 5
1.428627450980392 12.0 4
2.813636363636364 14.0 3
2.212121212121212 27.0 1
0.8834818228366615 14.0 6
2.3484848484848486 18.0 2
2.119047619047619 9.0 3
2.9473684210526314 16.0 1
3.125 20.0 1
2.757575757575758 29.0 1
0.25817553082406297 17.0 12
2.5 10.0 1
0.3382442580448108 20.0 7
0.8919333984784085 9.0 18
0.413258371153108 22.0 5
0.0 23.0 1
0.30242088242088244 19.0 5
3.1176470588235294 11.333333333333332 2
4.214285714285714 10.0 1
5.0 9.428571428571429 1
3.8285714285714287 8.0 1
0.9210526315789473 36.0 1
3.75 4.0 1
