nobl cc
0.0 1.704302871047749
4.551020408163265 4.694762748526234
9.10204081632653 7.685222626004718
13.653061224489797 10.675682503483204
18.20408163265306 13.666142380961688
22.755102040816325 16.65660225844017
27.306122448979593 19.647062135918656
31.857142857142854 22.637522013397138
36.40816326530612 25.627981890875624
40.95918367346938 28.618441768354106
45.51020408163265 31.608901645832592
50.06122448979591 34.59936152331108
54.61224489795919 37.58982140078957
59.16326530612244 40.580281278268046
63.71428571428571 43.57074115574653
68.26530612244898 46.56120103322502
72.81632653061224 49.551660910703504
77.36734693877551 52.54212078818199
81.91836734693877 55.53258066566047
86.46938775510203 58.52304054313896
91.0204081632653 61.51350042061744
95.57142857142857 64.50396029809592
100.12244897959182 67.4944201755744
104.67346938775509 70.48488005305289
109.22448979591837 73.47533993053138
113.77551020408164 76.46579980800986
118.32653061224488 79.45625968548833
122.87755102040815 82.44671956296682
127.42857142857142 85.4371794404453
131.9795918367347 88.4276393179238
136.53061224489795 91.41809919540228
141.0816326530612 94.40855907288076
145.6326530612245 97.39901895035925
150.18367346938774 100.38947882783773
154.73469387755102 103.37993870531622
159.28571428571428 106.37039858279469
163.83673469387753 109.36085846027318
168.3877551020408 112.35131833775166
172.93877551020407 115.34177821523016
177.48979591836732 118.33223809270864
182.0408163265306 121.32269797018712
186.59183673469386 124.31315784766561
191.14285714285714 127.3036177251441
195.6938775510204 130.2940776026226
200.24489795918365 133.28453748010108
204.79591836734693 136.27499735757957
209.34693877551018 139.26545723505805
213.89795918367346 142.25591711253654
218.44897959183675 145.24637699001502
223.0 148.2368368674935
