loc hse count
30.0 50605 21
33.0 39448 21
18.0 55036 21
19.0 21489 21
34.0 47580 22
37.0 51216 22
29.0 31363 22
16.0 33386 22
38.0 52571 23
37.0 47140 23
30.0 25252 24
23.0 23851 24
26.0 40350 25
41.0 37093 25
18.0 48484 26
20.0 45831 26
24.0 20375 27
32.0 45340 27
29.0 44634 27
18.0 29820 27
36.0 38273 27
42.0 34466 27
28.0 43614 28
9.0 1828 28
33.0 35295 28
35.0 20746 28
36.0 46859 28
30.0 39637 28
21.0 49515 29
39.0 42958 29
30.0 41849 29
25.0 30207 29
37.0 42445 30
29.0 43800 30
34.0 43203 30
42.0 41636 30
24.0 35590 31
26.0 36942 32
32.0 43968 33
40.0 38838 33
41.0 37291 34
34.0 39844 35
18.0 41474 36
40.0 37996 36
22.0 33146 36
39.0 24932 36
29.0 41290 36
42.0 41082 37
18.0 19371 37
32.0 42720 38
16.0 39325 38
22.0 33909 38
33.0 38517 40
21.0 25832 40
28.0 40092 41
30.0 23713 41
18.0 32982 42
27.0 35030 42
36.0 40643 43
34.0 36216 43
31.0 27200 44
24.0 21015 45
34.0 35417 45
35.0 37752 45
25.0 34776 45
37.0 32452 46
25.0 22620 46
42.0 38672 47
18.0 32065 47
37.0 36741 47
32.0 26409 48
42.0 33509 49
30.0 37478 50
27.0 34898 50
39.0 18469 50
39.0 29112 51
28.0 23003 52
15.0 30991 53
38.0 26290 53
28.0 33699 54
30.0 31641 55
28.0 19999 56
29.0 35935 57
32.0 27535 57
39.0 28953 57
32.0 39030 59
22.0 28799 60
37.0 27906 63
37.0 35734 63
32.0 34590 64
29.0 30058 65
35.0 28075 66
30.0 36526 67
18.0 16344 67
24.0 33264 69
28.0 30864 69
33.0 25375 70
38.0 29722 71
29.0 31920 72
39.0 29493 72
41.0 34276 72
26.0 32636 73
17.0 8093 75
19.0 16117 75
25.0 12337 75
19.0 13473 76
22.0 32293 77
27.0 30668 77
32.0 30339 77
30.0 31220 79
22.0 29276 79
29.0 24798 79
39.0 30467 81
14.0 23504 81
21.0 16976 82
22.0 26513 83
29.0 34039 84
20.0 27716 84
28.0 25042 85
42.0 24329 86
38.0 23325 87
32.0 32819 89
6.0 301 90
9.0 6318 92
24.0 19093 95
27.0 26865 96
14.0 21246 97
12.0 21372 97
27.0 14338 98
29.0 28654 100
20.0 12574 102
27.0 18875 102
26.0 18763 103
27.0 22302 103
6.0 2969 105
32.0 20627 105
29.0 25147 106
29.0 28459 106
