loc hse count
134.0 999517 1
140.0 283720 1
51.0 133183 1
51.0 221612 1
66.0 298187 1
219.0 745447 1
138.0 199342 1
112.0 237514 1
162.0 1233549 1
224.0 262018 1
276.0 1123233 1
87.0 300922 1
155.0 434469 1
136.0 282668 1
171.0 354597 1
205.0 591967 1
469.0 1552848 1
309.0 1272000 1
139.0 307797 1
41.0 139153 1
94.0 114276 1
107.0 276594 1
176.0 362211 1
89.0 288603 1
74.0 118163 1
198.0 3037382 1
334.0 290364 1
88.0 1108582 1
144.0 176972 1
161.0 474447 1
65.0 125771 1
83.0 249792 1
101.0 194276 1
107.0 153760 1
199.0 150324 1
214.0 826617 1
128.0 515068 1
133.0 266335 1
290.0 1110325 1
124.0 302343 1
114.0 100689 1
118.0 275705 1
684.0 20328459 1
50.0 174167 1
239.0 1083713 1
34.0 62386 1
165.0 236325 1
146.0 797881 1
41.0 172280 1
66.0 133450 1
95.0 121450 1
162.0 296937 1
249.0 123677 1
64.0 183142 1
151.0 197592 1
82.0 90324 1
57.0 98279 1
415.0 2127029 1
47.0 142034 1
146.0 384225 1
55.0 67263 1
54.0 104714 1
224.0 414107 1
38.0 116265 1
58.0 140640 1
103.0 178440 1
54.0 94568 1
51.0 137386 1
133.0 139321 1
797.0 5770333 1
72.0 143870 1
253.0 598372 1
213.0 677668 1
126.0 261726 1
184.0 277666 1
105.0 108388 1
52.0 64044 1
63.0 191083 1
132.0 142493 1
113.0 250905 1
330.0 2332204 1
439.0 328005 1
56.0 264683 1
127.0 190726 1
324.0 1327087 1
35.0 26915 1
866.0 36874741 1
950.0 41201555 1
38.0 456991 1
364.0 1101556 1
57.0 55145 1
232.0 569863 1
179.0 372701 1
70.0 338024 1
540.0 4098994 1
438.0 2458891 1
115.0 263215 1
185.0 377001 1
84.0 97813 1
415.0 621303 1
143.0 345789 1
97.0 2610480 1
161.0 327982 1
94.0 494726 1
39.0 158283 1
110.0 171312 2
115.0 310650 2
117.0 208734 2
86.0 284350 2
93.0 236679 2
275.0 894217 2
84.0 248501 2
198.0 715572 2
105.0 152624 2
114.0 298764 2
111.0 235729 2
112.0 243713 2
92.0 107817 2
67.0 148691 2
121.0 163911 2
175.0 363050 2
131.0 231312 2
79.0 185145 2
141.0 205248 2
75.0 340734 2
84.0 110480 2
137.0 406845 2
79.0 185703 2
149.0 243241 2
67.0 113508 2
60.0 110378 2
47.0 78047 2
66.0 216631 2
118.0 383349 2
98.0 167122 2
97.0 200752 2
63.0 100820 2
176.0 707539 2
143.0 235272 2
62.0 187263 2
227.0 714535 2
186.0 257776 2
220.0 331346 2
131.0 242224 2
30.0 24016 2
112.0 188407 2
112.0 246021 2
137.0 157113 2
113.0 254927 2
115.0 107595 2
57.0 254053 2
168.0 178101 2
114.0 261323 2
74.0 87225 2
147.0 309458 2
98.0 228441 2
110.0 222000 2
161.0 306521 2
149.0 133095 2
131.0 287199 2
90.0 156779 2
94.0 223988 2
114.0 230057 2
133.0 294105 2
134.0 184216 2
122.0 265899 2
443.0 825930 2
111.0 179330 2
158.0 816858 2
120.0 245232 2
15.0 16090 2
79.0 126213 2
116.0 151854 2
46.0 103881 2
86.0 178636 2
118.0 259014 2
200.0 967032 2
81.0 130728 2
164.0 308500 2
53.0 93082 2
86.0 146254 2
41.0 69529 2
81.0 198664 2
198.0 388448 2
150.0 190370 2
38.0 71126 2
85.0 123454 2
76.0 154736 2
42.0 91833 2
64.0 200581 2
114.0 140148 2
85.0 146485 2
134.0 294548 2
198.0 379256 2
87.0 460210 2
135.0 419664 2
87.0 464019 2
55.0 151364 2
472.0 2366585 2
115.0 226755 2
45.0 259860 2
69.0 383958 2
39.0 165661 2
187.0 354471 2
91.0 211421 2
213.0 1086300 2
57.0 111844 2
135.0 228615 2
107.0 278241 2
67.0 104605 2
85.0 656205 2
107.0 262434 2
91.0 254417 2
76.0 352094 2
97.0 140484 2
32.0 184785 2
203.0 666654 2
88.0 339581 2
171.0 251895 2
78.0 162112 2
53.0 227988 2
192.0 348876 2
40.0 505504 2
264.0 881869 2
143.0 392457 2
81.0 272575 2
35.0 42841 2
122.0 672274 2
167.0 323029 2
131.0 317145 2
134.0 244503 2
51.0 136415 2
639.0 4016285 2
46.0 461045 2
276.0 1167138 2
118.0 216729 2
78.0 96471 2
124.0 210907 2
77.0 315158 2
62.0 131895 2
31.0 81419 2
109.0 239908 2
37.0 61942 2
47.0 288724 2
208.0 168892 2
96.0 187386 2
717.0 5037427 2
55.0 159807 2
618.0 2599123 2
76.0 698066 2
134.0 278398 2
74.0 145624 2
56.0 157750 2
76.0 146889 2
90.0 660720 2
120.0 147497 2
94.0 334785 2
40.0 144563 2
219.0 713307 2
77.0 103605 2
110.0 153248 2
93.0 203489 2
280.0 1181613 2
151.0 341556 2
153.0 261592 2
114.0 127630 2
292.0 1246341 2
103.0 161400 2
131.0 98536 2
134.0 295677 2
129.0 293923 2
93.0 2105599 2
65.0 205130 2
119.0 131281 2
133.0 375243 2
69.0 142941 2
97.0 152768 2
417.0 1264605 2
226.0 913526 2
139.0 915920 2
120.0 227871 2
71.0 122575 2
164.0 274019 2
156.0 281629 2
155.0 96773 2
84.0 206020 2
150.0 320478 2
59.0 215257 2
401.0 1758616 2
101.0 160489 2
286.0 624188 2
147.0 428479 2
52.0 228742 2
120.0 243434 2
133.0 274929 2
53.0 67845 2
41.0 123353 2
397.0 2088520 2
239.0 741074 2
220.0 77312 2
95.0 183574 2
32.0 49812 2
18.0 64814 2
89.0 121972 2
79.0 89819 2
128.0 188107 2
68.0 215894 2
141.0 84599 2
98.0 198127 2
704.0 5708320 2
73.0 168419 2
47.0 119465 2
92.0 211208 2
305.0 1346822 2
126.0 269856 2
131.0 230604 2
63.0 126491 2
121.0 171183 2
141.0 197862 2
351.0 1457748 2
52.0 292279 2
84.0 203128 2
140.0 141021 2
140.0 273919 2
142.0 395510 2
95.0 125984 2
28.0 45443 2
130.0 252670 2
201.0 719213 2
117.0 309885 2
138.0 184684 2
115.0 152950 2
81.0 251450 2
148.0 372130 2
44.0 204883 2
198.0 211023 2
88.0 124827 2
101.0 149283 2
281.0 1080651 2
114.0 235832 2
86.0 167447 2
161.0 336649 2
59.0 101904 2
28.0 130479 2
58.0 133738 2
147.0 436708 2
135.0 185532 2
77.0 77709 2
63.0 134633 2
230.0 595249 2
104.0 80327 2
39.0 119166 2
247.0 1035219 2
140.0 190007 2
140.0 306209 2
42.0 156583 2
154.0 206318 2
158.0 360082 2
83.0 237984 2
98.0 234582 2
139.0 950389 2
74.0 268765 2
14.0 81134 2
143.0 326713 2
44.0 77031 2
55.0 140048 2
189.0 288579 2
141.0 211912 2
115.0 172788 3
109.0 189180 3
62.0 209333 3
72.0 142294 3
120.0 176822 3
131.0 269025 3
113.0 155598 3
74.0 115889 3
87.0 92244 3
120.0 141523 3
222.0 411574 3
131.0 417072 3
125.0 261200 3
95.0 191662 3
91.0 241473 3
83.0 201921 3
78.0 258284 3
228.0 897476 3
106.0 158720 3
109.0 396957 3
82.0 107017 3
66.0 99290 3
131.0 247515 3
156.0 323715 3
183.0 295051 3
25.0 70230 3
95.0 105744 3
66.0 132476 3
61.0 137953 3
212.0 737044 3
123.0 1001929 3
59.0 246187 3
67.0 100968 3
76.0 167639 3
72.0 92505 3
76.0 143222 3
38.0 156108 3
76.0 123912 3
25.0 50015 3
202.0 357347 3
185.0 388067 3
83.0 186829 3
95.0 127926 3
144.0 218279 3
61.0 180148 3
50.0 97181 3
67.0 98635 3
139.0 446226 3
162.0 353631 3
111.0 160329 3
121.0 250409 3
32.0 42625 3
138.0 62726 3
73.0 219860 3
122.0 27839 3
115.0 111962 3
75.0 103279 3
160.0 130183 3
50.0 133311 3
66.0 129308 3
38.0 102853 3
141.0 324642 3
118.0 276714 3
123.0 203619 3
111.0 173769 3
70.0 178998 3
61.0 57840 3
98.0 157410 3
149.0 241673 3
56.0 97403 3
54.0 7593 3
58.0 85625 3
75.0 89541 3
1001.0 2043000 3
60.0 50910 3
52.0 281226 3
80.0 127383 3
289.0 1179030 3
51.0 121182 3
74.0 89934 3
70.0 111378 3
72.0 90963 3
54.0 63668 3
119.0 151477 3
60.0 146999 3
118.0 240250 3
67.0 219411 3
57.0 117914 3
85.0 140362 3
77.0 103164 3
134.0 288429 3
162.0 350449 3
133.0 240078 3
62.0 122099 3
75.0 180511 3
53.0 76742 3
49.0 69775 3
130.0 173594 3
46.0 1314299 3
37.0 97692 3
370.0 1759707 3
120.0 111262 3
110.0 222538 3
40.0 56834 3
37.0 69012 3
132.0 362585 3
177.0 351470 3
51.0 201679 3
557.0 3678560 3
72.0 151713 3
100.0 216886 3
37.0 99603 3
87.0 95752 3
80.0 119795 3
25.0 52323 3
72.0 118704 3
160.0 398108 3
90.0 167293 3
67.0 93355 3
100.0 127076 3
207.0 439841 3
51.0 155298 3
40.0 68065 3
66.0 117141 3
150.0 220150 3
56.0 75512 3
117.0 196784 3
59.0 499099 3
90.0 113874 3
14.0 35784 3
115.0 90106 3
110.0 209843 3
234.0 451720 3
64.0 114416 3
125.0 318050 3
63.0 91438 3
214.0 257667 3
94.0 519380 3
79.0 120603 3
65.0 126619 3
213.0 817997 3
204.0 590775 3
95.0 149776 3
96.0 245569 3
133.0 195942 3
78.0 134240 3
125.0 263753 3
136.0 267317 3
207.0 227021 3
736.0 5752530 3
81.0 582036 3
212.0 189416 4
207.0 575334 4
42.0 101805 4
59.0 136314 4
39.0 125579 4
124.0 256362 4
66.0 122338 4
100.0 147366 4
54.0 68802 4
54.0 106806 4
76.0 109029 4
212.0 523867 4
74.0 142832 4
188.0 346925 4
86.0 170169 4
129.0 164841 4
95.0 113210 4
72.0 79824 4
71.0 133979 4
82.0 239232 4
81.0 166495 4
146.0 205403 4
59.0 79953 4
64.0 183249 4
115.0 137705 4
171.0 251073 4
69.0 124562 4
41.0 89446 4
165.0 179762 4
127.0 175920 4
67.0 152194 4
93.0 139818 4
91.0 199651 4
78.0 182109 4
34.0 46674 4
209.0 729499 4
138.0 236007 4
95.0 169184 4
123.0 115246 4
105.0 202445 4
103.0 139630 4
65.0 87688 4
82.0 115152 4
77.0 94249 4
45.0 53463 4
60.0 204628 4
131.0 257243 4
87.0 146095 4
75.0 72271 4
145.0 218090 4
41.0 41920 4
63.0 186081 4
60.0 102692 4
18.0 40765 4
59.0 71855 4
65.0 74694 4
78.0 181876 4
32.0 38100 4
67.0 103999 4
51.0 101232 4
60.0 123254 4
109.0 144870 4
64.0 104927 4
93.0 121618 4
89.0 144346 4
84.0 108736 4
77.0 108266 4
69.0 115382 4
69.0 83210 4
81.0 92739 4
35.0 37582 4
48.0 52789 4
77.0 112670 4
38.0 96907 4
106.0 213744 4
45.0 129936 4
149.0 241364 4
132.0 536002 4
74.0 75833 4
56.0 60220 4
55.0 109640 4
53.0 72496 4
314.0 1354842 4
38.0 78429 4
96.0 109840 4
136.0 149906 4
107.0 167851 4
131.0 275304 4
33.0 122758 4
58.0 112215 4
82.0 107464 4
43.0 79422 4
43.0 81519 4
110.0 97950 4
79.0 85341 4
87.0 161299 5
81.0 234412 5
59.0 114820 5
59.0 243834 5
66.0 172626 5
66.0 223423 5
65.0 77359 5
103.0 215112 5
107.0 225465 5
221.0 552447 5
141.0 463288 5
