nobl coco
2.0 3.436100276797095
2.693877551020408 3.746358262215565
3.3877551020408165 4.056616247634035
4.081632653061225 4.366874233052505
4.775510204081632 4.677132218470975
5.469387755102041 4.987390203889445
6.163265306122448 5.297648189307916
6.857142857142858 5.607906174726386
7.551020408163264 5.918164160144856
8.244897959183673 6.228422145563326
8.938775510204081 6.5386801309817955
9.63265306122449 6.848938116400266
10.326530612244898 7.159196101818736
11.020408163265305 7.469454087237206
11.714285714285714 7.779712072655676
12.408163265306122 8.089970058074146
13.10204081632653 8.400228043492616
13.795918367346939 8.710486028911086
14.489795918367346 9.020744014329557
15.183673469387756 9.331001999748027
15.877551020408163 9.641259985166496
16.571428571428573 9.951517970584966
17.26530612244898 10.261775956003437
17.959183673469386 10.572033941421907
18.653061224489797 10.882291926840377
19.346938775510207 11.192549912258848
20.04081632653061 11.502807897677316
20.73469387755102 11.813065883095787
21.428571428571427 12.123323868514257
22.122448979591837 12.433581853932727
22.816326530612244 12.743839839351196
23.51020408163265 13.054097824769666
24.20408163265306 13.364355810188137
24.897959183673468 13.674613795606607
25.591836734693878 13.984871781025078
26.285714285714285 14.295129766443546
26.97959183673469 14.605387751862018
27.6734693877551 14.915645737280489
28.36734693877551 15.225903722698959
29.061224489795915 15.536161708117428
29.755102040816325 15.846419693535898
30.448979591836732 16.156677678954367
31.142857142857142 16.46693566437284
31.836734693877553 16.777193649791307
32.53061224489796 17.087451635209778
33.224489795918366 17.397709620628248
33.91836734693877 17.70796760604672
34.61224489795919 18.01822559146519
35.30612244897959 18.32848357688366
36.0 18.63874156230213
