robl midx
0.0 98.8820689897023
0.10884353741496598 98.94576239033691
0.21768707482993196 99.00945579097151
0.32653061224489793 99.07314919160612
0.43537414965986393 99.13684259224071
0.5442176870748299 99.20053599287532
0.6530612244897959 99.26422939350992
0.7619047619047619 99.32792279414453
0.8707482993197279 99.39161619477913
0.9795918367346937 99.45530959541374
1.0884353741496597 99.51900299604834
1.1972789115646256 99.58269639668295
1.3061224489795917 99.64638979731754
1.4149659863945576 99.71008319795214
1.5238095238095237 99.77377659858675
1.6326530612244896 99.83746999922136
1.7414965986394557 99.90116339985596
1.8503401360544218 99.96485680049057
1.9591836734693875 100.02855020112517
2.068027210884354 100.09224360175976
2.1768707482993195 100.15593700239437
2.2857142857142856 100.21963040302897
2.3945578231292513 100.28332380366358
2.5034013605442174 100.34701720429818
2.6122448979591835 100.41071060493279
2.7210884353741496 100.4744040055674
2.8299319727891152 100.538097406202
2.9387755102040813 100.60179080683659
3.0476190476190474 100.6654842074712
3.1564625850340136 100.7291776081058
3.265306122448979 100.7928710087404
3.3741496598639453 100.85656440937501
3.4829931972789114 100.92025781000962
3.5918367346938775 100.98395121064422
3.7006802721088436 101.04764461127883
3.809523809523809 101.11133801191342
3.918367346938775 101.17503141254802
4.0272108843537415 101.23872481318263
4.136054421768708 101.30241821381723
4.244897959183673 101.36611161445184
4.353741496598639 101.42980501508644
4.462585034013605 101.49349841572105
4.571428571428571 101.55719181635564
4.680272108843537 101.62088521699025
4.7891156462585025 101.68457861762485
4.897959183673469 101.74827201825946
5.006802721088435 101.81196541889406
5.115646258503401 101.87565881952867
5.224489795918367 101.93935222016327
5.333333333333333 102.00304562079788
