loc hsv count
15.0 1112 20
20.0 1705 21
33.0 2221 21
32.0 2147 21
28.0 1747 21
32.0 2594 22
6.0 880 22
39.0 1153 22
23.0 430 22
17.0 294 22
39.0 2525 24
19.0 320 24
16.0 883 24
40.0 1480 24
36.0 668 25
18.0 280 25
14.0 893 25
39.0 2086 26
37.0 818 26
36.0 2267 27
28.0 2074 27
36.0 988 27
26.0 718 27
17.0 1301 28
32.0 744 29
27.0 766 29
30.0 1759 29
36.0 1893 29
37.0 732 30
24.0 545 30
22.0 646 30
35.0 1986 30
34.0 2446 31
30.0 2130 31
40.0 1385 31
18.0 1405 33
9.0 827 33
15.0 1424 33
20.0 1679 34
28.0 807 34
38.0 1851 34
37.0 933 34
27.0 585 35
36.0 841 35
25.0 1589 35
39.0 2162 35
41.0 2179 36
36.0 1074 36
20.0 346 36
36.0 1794 37
29.0 1783 38
25.0 704 38
42.0 1105 38
37.0 1673 38
39.0 1205 39
38.0 2118 39
35.0 2318 39
37.0 2249 39
41.0 2285 40
24.0 1444 40
24.0 1730 40
41.0 2140 41
37.0 1523 41
18.0 382 42
32.0 1697 42
33.0 1010 42
39.0 1364 43
38.0 1972 43
34.0 1041 43
23.0 680 44
34.0 1997 44
34.0 1837 44
32.0 2017 44
26.0 948 45
13.0 839 46
29.0 1661 46
39.0 1505 46
31.0 1423 49
14.0 1225 49
39.0 2039 50
38.0 1935 50
27.0 1476 51
25.0 1639 52
6.0 65 52
41.0 1612 52
15.0 334 52
27.0 1844 53
42.0 2200 53
31.0 1252 54
34.0 1273 54
34.0 1873 55
36.0 1771 55
24.0 460 55
39.0 965 58
41.0 1318 59
34.0 1918 59
38.0 2097 60
36.0 2049 61
26.0 1533 62
25.0 610 62
32.0 1340 63
28.0 1905 66
17.0 1132 66
36.0 1819 66
35.0 1708 71
8.0 132 71
40.0 1686 71
30.0 1184 73
8.0 488 73
36.0 1957 73
38.0 1240 76
28.0 1567 82
25.0 777 82
23.0 1615 82
27.0 1387 82
27.0 1108 85
30.0 959 86
31.0 873 87
34.0 1550 87
27.0 1806 88
7.0 278 88
16.0 306 89
20.0 634 89
36.0 1640 91
38.0 1656 92
9.0 574 94
8.0 154 95
10.0 589 95
39.0 1625 95
39.0 1351 100
28.0 1401 100
22.0 1278 101
20.0 445 101
35.0 1722 103
10.0 862 104
39.0 1782 104
25.0 1312 104
38.0 1750 106
21.0 1335 106
26.0 1515 107
34.0 1540 111
29.0 1300 111
16.0 948 115
19.0 1077 117
26.0 1051 118
6.0 86 120
33.0 1453 124
27.0 1169 124
23.0 656 124
33.0 1088 125
26.0 694 125
12.0 744 126
16.0 1048 129
23.0 1039 129
33.0 1489 134
35.0 1599 135
18.0 418 138
20.0 860 138
29.0 999 140
16.0 1089 141
12.0 246 145
24.0 1505 147
20.0 1252 148
27.0 904 150
28.0 1149 151
22.0 1196 155
17.0 713 159
8.0 532 159
16.0 1014 162
28.0 1133 164
29.0 1464 170
32.0 1578 172
19.0 513 173
13.0 796 175
23.0 973 176
31.0 1411 178
34.0 1288 179
27.0 1065 184
27.0 915 186
21.0 924 189
24.0 1358 190
29.0 1433 196
16.0 1058 198
24.0 1323 199
20.0 623 200
16.0 394 202
28.0 1376 203
20.0 1186 210
9.0 502 224
9.0 370 225
24.0 1266 231
29.0 1213 255
25.0 1233 263
6.0 101 263
28.0 1024 291
19.0 984 304
22.0 1158 309
17.0 998 314
19.0 1100 316
6.0 298 316
14.0 907 328
23.0 1120 328
8.0 121 336
20.0 830 339
9.0 222 350
6.0 165 350
18.0 808 355
16.0 960 356
23.0 787 370
15.0 873 383
17.0 937 388
19.0 370 414
8.0 195 423
23.0 559 456
24.0 890 458
15.0 611 479
22.0 742 505
14.0 777 508
19.0 849 516
6.0 255 518
13.0 658 522
10.0 143 524
9.0 560 527
13.0 548 535
23.0 818 540
10.0 466 542
7.0 421 564
9.0 624 568
17.0 760 573
11.0 641 594
16.0 479 599
10.0 325 619
10.0 344 624
7.0 177 634
21.0 532 647
14.0 687 648
13.0 704 655
19.0 578 661
8.0 206 690
17.0 671 690
18.0 726 710
9.0 517 737
18.0 495 795
