count robl hsv
67116 0.0 35
65298 0.0 51
47241 0.0 43
32153 0.0 29
29459 0.0 60
26021 0.0 68
25728 0.0 88
25115 0.0 101
21798 0.0 77
19127 0.0 116
16581 0.0 131
14936 0.0 150
13203 0.0 170
11972 0.0 193
10969 0.0 218
8816 0.0 243
6893 0.0 291
6721 0.0 267
6243 0.0 317
5412 0.0 345
4445 0.0 372
4099 0.0 401
3981 0.0 433
3593 0.0 468
3187 0.0 507
2932 0.0 548
2542 0.0 593
2094 0.0 639
1743 0.0 686
1640 0.0 736
1403 0.0 789
1247 0.25 204
1195 0.0 842
1170 0.25 122
1088 1.0 56
1079 0.0 897
1013 0.2 221
977 0.0 958
963 0.5 80
894 0.2 137
871 0.5 153
851 0.16666666666666666 216
840 0.0 1025
809 0.25 300
768 0.3333333333333333 163
746 0.19998968859558675 306
736 0.0 1095
684 0.1666588065144941 289
683 0.0 1176
681 0.3333333333333333 224
680 0.3333333333333333 377
662 0.3333333333333333 293
656 0.5 235
628 0.0 1256
628 0.11114233379126597 337
594 0.14285714285714285 324
582 0.125 361
577 0.2 400
574 0.16666787650019357 140
571 0.25 389
570 0.0 1339
560 0.09096320346320345 402
549 0.125 274
529 0.4 219
507 0.14285714285714285 248
502 0.10028307821346194 445
490 0.25 488
485 0.16666666666666666 364
474 0.10013324450366423 340
466 0.0 1439
451 0.11109351353253792 453
449 0.09124654113518256 520
443 0.18193523447639767 447
441 0.10001193459840077 232
439 0.14285714285714285 401
438 0.3333333333333333 103
424 0.20003013892609744 502
422 0.4 292
418 0.0 1772
414 0.12508288339490384 183
412 0.2222467392370305 339
412 0.2857142857142857 348
410 0.11113479538156724 216
404 0.14287023940489285 578
399 0.0 1539
394 0.12501023415752416 455
393 0.13344989545477087 598
388 0.25 609
383 0.5 324
380 0.0 1645
380 0.2857241788682232 262
379 0.2856992084432718 449
375 0.2222222222222222 456
369 0.16668630454420486 442
367 0.0 1931
365 0.15419200266208197 636
362 0.16668254270654725 529
358 0.14285714285714285 487
355 0.10035644579967364 553
355 0.2 622
351 1.0 125
346 0.4 150
341 0.08339209711680158 488
324 0.6666666666666666 123
323 0.3333333333333333 471
322 0.07696129956999523 474
322 0.14289127022046275 170
317 0.2857142857142857 175
312 0.15414564517803386 495
307 0.15388769468145433 320
306 0.09090909090909091 276
301 0.125 566
300 0.07705153902016647 625
299 0.18181818181818182 609
295 0.1816437052478927 303
291 0.14293749622427152 717
288 0.1530746423884216 777
287 0.06668320330112565 612
287 0.1110868210171346 581
287 0.0 2094
285 0.4 390
284 0.08028430366273213 945
279 0.08350215573216975 616
275 0.054125321493742544 688
274 0.13305237692221855 757
262 0.07144876610525465 583
260 0.4287147634973722 375
259 0.1250311371279113 698
258 0.25002768549280174 749
258 0.29994004492408505 467
257 0.07142857142857142 456
255 0.14297584589220802 879
255 0.09163854935913761 644
252 0.3333333333333333 567
249 0.2 737
247 0.04743639274531723 727
246 0.0999737739312877 699
244 0.1666446324695928 632
240 0.3333333333333333 690
238 0.1884090174531351 589
238 0.0 2245
237 0.375 410
233 0.05392446537691624 830
233 0.2722830290709215 456
232 0.08334895052473762 381
229 0.08415719009035887 763
228 0.09195046001320302 794
225 0.2222222222222222 595
222 0.3333333333333333 863
219 0.3645398469190827 600
218 0.2366411544054509 845
218 0.6666666666666666 229
217 0.21310771669707226 697
217 0.19997752051253234 868
216 0.04836997540249573 860
