count nobl hsv
124 3.0 280
123 1.0 656
122 3.0 596
121 0.0 1107
121 3.0 565
120 2.0 910
120 1.0 751
119 3.0 632
119 1.0 610
119 0.0 988
118 3.0 200
118 2.0 451
118 0.0 855
118 3.0 217
117 1.0 817
116 0.0 1186
116 3.0 309
115 0.0 1068
114 2.0 817
114 2.0 615
114 3.0 413
113 1.0 741
113 0.0 1024
113 0.0 997
112 2.0 669
111 3.0 621
111 0.0 1041
110 3.0 739
110 1.0 960
110 0.0 1133
108 3.0 576
108 3.0 677
106 3.0 354
106 2.0 880
106 3.0 840
105 2.0 135
105 3.0 653
105 3.0 270
105 2.0 848
105 0.0 1328
105 1.0 624
104 0.0 1058
104 2.0 837
104 1.0 799
104 4.0 883
104 4.0 728
103 2.0 707
103 2.0 599
103 3.0 240
102 2.0 1299
102 3.0 867
102 0.0 1119
102 2.0 859
101 1.0 1094
101 0.0 1033
101 4.0 691
100 2.0 997
100 3.0 956
100 3.0 806
100 3.0 229
100 1.0 863
100 4.0 477
100 2.0 787
100 3.0 905
100 3.0 853
99 0.0 1228
99 2.0 795
99 1.0 844
98 2.0 114
98 2.0 869
98 0.0 1097
98 2.0 101
98 0.0 1158
97 3.0 536
97 3.0 1258
97 3.0 494
97 3.0 827
97 1.0 934
96 2.0 962
96 2.0 143
96 4.0 813
96 0.0 1087
96 3.0 259
96 1.0 1040
95 1.0 1021
95 3.0 669
95 1.0 875
95 1.0 1060
95 2.0 972
95 3.0 486
94 0.0 1016
94 2.0 898
94 3.0 643
94 3.0 502
94 2.0 827
94 3.0 363
93 1.0 854
93 2.0 924
93 3.0 425
93 3.0 291
92 3.0 1016
92 3.0 752
92 4.0 585
92 3.0 880
92 4.0 449
91 4.0 655
90 4.0 339
90 3.0 715
90 3.0 586
90 3.0 250
89 0.0 1147
89 0.0 1284
89 3.0 726
87 1.0 1112
87 1.0 996
87 1.0 947
86 2.0 1718
86 0.0 1238
86 1.0 886
85 4.0 825
85 0.0 1263
85 1.0 826
85 0.0 1078
85 1.0 833
84 2.0 1104
84 3.0 300
84 3.0 892
83 4.0 1003
83 2.0 810
83 0.0 1216
83 2.0 86
83 1.0 55
82 2.0 155
82 4.0 971
82 4.0 433
82 3.0 1147
82 3.0 968
82 2.0 1049
81 3.0 784
81 4.0 676
81 0.0 1315
81 1.0 924
81 0.0 1272
80 0.0 1295
80 1.0 809
79 1.0 46
79 3.0 931
79 2.0 985
79 4.0 776
79 2.0 1035
78 1.0 974
78 3.0 762
77 2.0 1090
77 4.0 404
77 0.0 1579
77 0.0 1343
76 1.0 1076
76 4.0 867
75 3.0 816
75 0.0 1357
75 2.0 1012
75 4.0 610
75 0.0 1599
74 0.0 1049
74 3.0 773
74 4.0 741
73 4.0 988
73 4.0 622
73 3.0 690
73 3.0 697
73 2.0 1255
73 4.0 236
73 4.0 536
73 3.0 1072
72 4.0 763
72 3.0 942
72 1.0 1249
72 2.0 1075
72 3.0 991
72 3.0 164
71 3.0 919
71 2.0 951
71 0.0 1399
71 4.0 911
71 5.0 816
71 4.0 546
71 3.0 705
71 2.0 1173
71 3.0 661
71 1.0 1128
70 2.0 1135
70 0.0 1370
70 4.0 851
70 4.0 1046
70 4.0 1196
70 1.0 896
70 2.0 1148
70 4.0 556
70 0.0 1553
70 2.0 1024
70 3.0 794
69 2.0 1235
69 4.0 489
69 1.0 913
69 4.0 465
69 4.0 753
69 2.0 890
68 1.0 1007
68 3.0 1129
68 4.0 355
68 4.0 664
68 4.0 566
68 3.0 1032
67 4.0 1241
67 5.0 268
66 4.0 790
66 4.0 308
66 0.0 1251
66 4.0 417
66 4.0 704
65 2.0 1191
65 5.0 852
65 3.0 1002
65 2.0 802
65 4.0 1217
65 3.0 1099
65 2.0 1278
65 0.0 1416
64 3.0 1319
64 4.0 631
64 3.0 1114
63 2.0 1160
63 0.0 1431
63 5.0 1352
63 4.0 899
62 1.0 1143
62 4.0 1072
62 3.0 184
62 2.0 1315
62 4.0 957
61 4.0 716
61 0.0 1618
61 2.0 1207
61 1.0 986
61 1.0 1289
61 2.0 1118
61 4.0 838
60 3.0 1162
60 0.0 1306
60 0.0 1494
59 4.0 801
59 3.0 1045
59 3.0 683
59 5.0 1324
59 4.0 501
58 3.0 1193
58 0.0 1718
58 5.0 650
58 0.0 1912
58 2.0 1359
58 0.0 1442
58 1.0 1271
57 0.0 1524
57 5.0 1105
57 5.0 894
56 1.0 1205
56 3.0 1178
56 0.0 1455
56 4.0 525
56 2.0 73
56 4.0 643
56 0.0 1683
55 4.0 326
55 1.0 1157
55 5.0 953
55 1.0 1381
55 5.0 791
55 2.0 1221
54 8.0 931
54 0.0 1834
54 4.0 597
54 3.0 1058
53 1.0 905
53 0.0 1508
53 4.0 1030
53 5.0 409
53 3.0 1241
53 0.0 1757
52 4.0 1059
52 0.0 1538
52 4.0 513
52 6.0 678
52 5.0 842
52 6.0 305
52 4.0 1100
51 0.0 1384
51 2.0 1062
51 6.0 597
51 0.0 1479
51 4.0 1157
51 1.0 1216
51 5.0 719
51 1.0 1170
50 5.0 1091
50 3.0 980
50 5.0 877
49 1.0 1551
49 2.0 1521
49 4.0 1118
49 5.0 922
49 5.0 513
49 2.0 1345
49 2.0 1411
49 5.0 635
49 1.0 1181
49 1.0 1334
48 5.0 532
48 5.0 828
48 5.0 998
48 3.0 1208
48 5.0 937
47 4.0 576
47 0.0 1666
47 5.0 593
47 4.0 935
47 5.0 764
47 2.0 1393
46 4.0 380
46 5.0 1301
46 3.0 1271
46 3.0 1224
46 3.0 1502
46 3.0 1352
46 1.0 1349
46 4.0 1393
46 4.0 1289
46 5.0 1010
46 2.0 1471
46 5.0 491
46 4.0 1257
46 4.0 392
46 2.0 1375
46 5.0 666
45 4.0 1146
45 5.0 866
45 5.0 1226
45 5.0 474
45 3.0 1526
45 4.0 1428
45 4.0 924
44 4.0 1019
44 5.0 805
44 5.0 1059
44 4.0 1086
44 5.0 742
44 1.0 1230
44 1.0 1363
44 1.0 1305
44 5.0 690
43 3.0 1304
43 5.0 551
43 5.0 967
43 7.0 967
43 5.0 1077
42 6.0 979
42 6.0 655
42 7.0 583
42 6.0 1027
42 1.0 1320
42 0.0 1885
42 2.0 1330
42 5.0 731
42 4.0 294
42 6.0 820
42 4.0 1514
42 0.0 1863
42 6.0 838
42 4.0 947
41 8.0 550
41 4.0 1272
41 1.0 1473
41 4.0 1491
41 3.0 145
41 4.0 1782
41 6.0 926
41 4.0 1375
41 8.0 657
41 1.0 1193
41 5.0 1208
41 5.0 776
41 6.0 737
41 5.0 1043
41 1.0 1399
40 4.0 1133
40 0.0 1648
40 1.0 1647
40 4.0 258
40 5.0 619
40 6.0 960
40 3.0 1287
40 7.0 619
40 7.0 299
40 5.0 1163
40 6.0 911
40 5.0 1191
40 2.0 1427
40 3.0 1087
39 5.0 1557
39 5.0 1026
39 3.0 1400
39 6.0 765
39 6.0 1245
39 6.0 1418
39 6.0 892
38 0.0 1809
38 1.0 1417
38 3.0 1337
38 6.0 1211
38 0.0 1467
38 6.0 1070
38 1.0 1528
38 3.0 1444
38 5.0 1513
38 6.0 1126
38 5.0 983
38 4.0 1182
38 6.0 1107
38 0.0 1702
38 6.0 856
37 5.0 456
37 7.0 950
37 1.0 1493
37 6.0 570
37 6.0 1323
37 5.0 678
37 4.0 1654
37 4.0 368
37 1.0 1511
37 4.0 1446
37 0.0 1938
37 0.0 1633
37 0.0 1975
37 5.0 1148
37 0.0 1788
36 4.0 278
36 0.0 1745
36 11.0 1007
36 5.0 577
36 1.0 1686
36 3.0 1463
36 8.0 642
36 5.0 1422
36 5.0 908
36 2.0 54
36 0.0 2119
36 5.0 704
36 6.0 996
36 4.0 1170
36 5.0 1135
35 4.0 1632
35 6.0 1169
35 0.0 1999
35 2.0 1500
35 4.0 1319
35 5.0 1259
35 4.0 1332
35 2.0 1636
35 0.0 1731
35 2.0 1541
34 0.0 2097
34 3.0 1368
34 4.0 1361
34 5.0 355
34 6.0 724
34 6.0 1056
34 8.0 1082
34 7.0 1405
34 2.0 1598
33 3.0 1564
33 5.0 1242
33 0.0 1771
33 8.0 1003
33 4.0 1470
33 5.0 1665
33 4.0 1305
33 5.0 1489
33 6.0 545
33 4.0 202
33 1.0 1621
33 4.0 1537
33 7.0 1258
33 2.0 1441
33 5.0 1278
32 6.0 1011
32 4.0 1410
32 5.0 1596
32 5.0 337
32 6.0 707
32 6.0 1284
32 5.0 1406
32 2.0 1454
32 10.0 596
32 1.0 1449
32 6.0 1395
32 6.0 1146
32 12.0 1069
32 6.0 799
32 2.0 1845
31 6.0 1264
31 6.0 781
31 0.0 2220
31 5.0 607
31 7.0 814
31 4.0 1346
31 5.0 564
31 9.0 628
31 5.0 754
31 5.0 1469
31 2.0 1792
31 3.0 1431
30 4.0 1707
30 3.0 1419
30 5.0 1369
30 5.0 1758
30 2.0 1617
30 2.0 1761
30 5.0 1121
30 8.0 1237
30 1.0 1869
30 2.0 1816
29 3.0 1482
29 4.0 1576
29 5.0 1387
29 5.0 423
29 4.0 1678
29 5.0 293
29 7.0 1168
29 1.0 1575
29 4.0 221
29 6.0 945
29 7.0 1353
29 1.0 1837
29 3.0 1546
29 2.0 1560
28 8.0 1349
28 7.0 1105
28 2.0 1930
28 7.0 341
28 2.0 1677
28 1.0 1746
28 7.0 1125
28 4.0 1731
28 0.0 2024
28 6.0 1190
28 5.0 1685
28 3.0 1626
28 1.0 1432
28 4.0 1613
28 7.0 1209
27 6.0 1539
27 5.0 1177
27 3.0 1761
27 1.0 1721
27 4.0 1751
27 5.0 313
27 6.0 1341
27 5.0 1577
27 0.0 1954
27 7.0 1627
27 5.0 376
27 0.0 2043
27 7.0 1024
27 11.0 692
27 7.0 1234
27 1.0 1668
27 3.0 1382
26 6.0 618
26 5.0 1438
26 5.0 1451
26 7.0 1378
26 7.0 1186
26 2.0 1699
26 5.0 442
26 6.0 1304
26 4.0 1869
26 3.0 1913
26 6.0 1441
26 6.0 691
26 7.0 1047
26 1.0 1598
25 4.0 1812
25 6.0 1229
25 3.0 2001
25 2.0 1484
25 6.0 670
25 3.0 1888
25 7.0 1324
25 5.0 1786
25 5.0 1533
25 4.0 1905
25 2.0 1737
25 6.0 1088
25 7.0 1064
25 2.0 1579
25 5.0 1818
25 7.0 1284
25 0.0 2070
24 4.0 1594
24 5.0 1980
24 6.0 1787
24 6.0 1375
24 6.0 1042
24 9.0 1658
24 7.0 601
24 8.0 823
24 3.0 1785
24 1.0 1771
24 6.0 1356
24 7.0 1459
24 0.0 2368
24 0.0 2139
23 3.0 1673
23 2.0 1655
23 2.0 1872
23 0.0 2189
23 3.0 1592
23 9.0 1345
23 5.0 1902
23 9.0 567
23 1.0 1701
23 5.0 395
23 6.0 1517
23 5.0 1617
23 7.0 1084
23 12.0 655
23 0.0 2286
23 1.0 1930
23 7.0 998
22 7.0 1682
22 1.0 1904
22 6.0 1591
22 6.0 1983
22 7.0 924
22 6.0 634
22 1.0 1790
22 8.0 1273
22 7.0 1147
22 6.0 1859
22 8.0 1205
22 6.0 1566
22 3.0 120
22 3.0 1743
22 7.0 900
22 3.0 1641
22 6.0 1763
21 7.0 1604
21 6.0 870
21 7.0 784
21 8.0 1298
21 2.0 2374
21 4.0 1954
21 2.0 2042
21 7.0 1304
21 3.0 1606
21 2.0 2101
21 8.0 1167
21 3.0 102
21 4.0 1556
21 6.0 1459
21 6.0 520
21 7.0 1583
21 6.0 371
21 3.0 1852
20 9.0 837
20 7.0 1771
20 5.0 1732
20 6.0 1731
20 1.0 1813
20 5.0 1641
20 3.0 1581
20 9.0 1419
20 8.0 1107
20 6.0 750
20 6.0 1806
20 0.0 2245
20 9.0 1282
20 3.0 2107
20 2.0 2312
20 3.0 1728
20 4.0 190
20 1.0 2170
20 3.0 1827
19 3.0 2064
19 8.0 1434
19 5.0 1849
19 6.0 2051
19 7.0 695
19 6.0 1651
19 4.0 161
19 0.0 2163
19 6.0 1936
19 7.0 1847
18 8.0 1058
18 2.0 2076
18 7.0 561
18 2.0 1989
18 3.0 1944
18 7.0 761
18 6.0 1833
18 8.0 904
18 5.0 1704
18 8.0 1724
18 5.0 1953
18 9.0 2146
18 6.0 455
18 6.0 1667
18 7.0 1564
18 7.0 879
18 9.0 1382
18 8.0 1589
18 3.0 1657
18 7.0 1796
17 5.0 1879
17 6.0 2017
17 8.0 1136
17 4.0 1990
17 8.0 1621
17 7.0 1820
17 3.0 2284
17 7.0 1544
17 8.0 978
17 8.0 1790
17 7.0 1523
17 6.0 503
17 5.0 2066
17 4.0 181
17 7.0 1483
17 8.0 861
17 6.0 2221
17 6.0 2127
17 8.0 1488
17 8.0 953
17 2.0 1902
17 2.0 2161
17 7.0 1439
17 7.0 744
16 3.0 1708
16 7.0 645
16 14.0 895
16 6.0 1479
16 1.0 1984
16 5.0 2154
16 9.0 1619
16 7.0 852
16 8.0 370
16 2.0 1962
16 1.0 1956
16 6.0 1613
16 6.0 1886
16 4.0 1840
16 6.0 1710
16 6.0 1634
16 3.0 2206
16 2.0 2013
16 9.0 1451
16 0.0 2269
16 5.0 2029
16 9.0 1552
16 8.0 1895
15 2.0 2230
15 4.0 1965
15 14.0 986
15 1.0 2007
15 3.0 2239
15 9.0 1114
15 7.0 1505
15 8.0 2409
15 7.0 2007
15 3.0 1691
15 7.0 717
15 8.0 2033
15 9.0 1808
15 9.0 1973
15 3.0 76
15 9.0 1246
15 10.0 1640
15 1.0 2134
15 5.0 1926
15 8.0 1389
15 6.0 1911
15 8.0 1369
15 7.0 2073
15 8.0 509
15 4.0 2044
15 8.0 1640
14 5.0 234
14 11.0 751
14 4.0 2317
14 9.0 2181
14 3.0 2031
14 8.0 1695
14 4.0 2397
14 7.0 1655
14 2.0 2627
14 8.0 1412
14 9.0 775
14 9.0 1831
14 3.0 1975
14 0.0 2734
14 3.0 1806
14 17.0 2020
14 8.0 696
14 10.0 1425
14 8.0 1987
14 9.0 1780
14 6.0 1498
14 8.0 1461
14 7.0 802
14 1.0 2035
14 8.0 754
14 4.0 2159
14 7.0 1712
14 6.0 402
14 4.0 1933
14 6.0 1691
13 10.0 1672
13 7.0 831
13 0.0 2452
13 9.0 1519
13 0.0 2517
13 7.0 1973
13 9.0 1090
13 3.0 2132
13 7.0 1951
13 0.0 2308
13 7.0 2301
13 8.0 1512
13 7.0 429
13 8.0 1328
13 5.0 2100
13 9.0 413
13 0.0 2601
13 9.0 966
13 5.0 2005
13 9.0 1586
13 2.0 2192
13 7.0 1873
