nobl ncl
2.0 0.39048163250909385
2.693877551020408 0.9225124937351981
3.3877551020408165 1.4545433549613023
4.081632653061225 1.9865742161874067
4.775510204081632 2.5186050774135107
5.469387755102041 3.050635938639615
6.163265306122448 3.5826667998657196
6.857142857142858 4.1146976610918236
7.551020408163264 4.646728522317927
8.244897959183673 5.1787593835440315
8.938775510204081 5.710790244770136
9.63265306122449 6.24282110599624
10.326530612244898 6.774851967222345
11.020408163265305 7.306882828448449
11.714285714285714 7.838913689674554
12.408163265306122 8.370944550900656
13.10204081632653 8.90297541212676
13.795918367346939 9.435006273352867
14.489795918367346 9.96703713457897
15.183673469387756 10.499067995805074
15.877551020408163 11.031098857031179
16.571428571428573 11.563129718257283
17.26530612244898 12.095160579483386
17.959183673469386 12.627191440709492
18.653061224489797 13.159222301935596
19.346938775510207 13.6912531631617
20.04081632653061 14.223284024387803
20.73469387755102 14.755314885613908
21.428571428571427 15.287345746840012
22.122448979591837 15.819376608066117
22.816326530612244 16.35140746929222
23.51020408163265 16.883438330518324
24.20408163265306 17.415469191744428
24.897959183673468 17.947500052970533
25.591836734693878 18.47953091419664
26.285714285714285 19.01156177542274
26.97959183673469 19.543592636648846
27.6734693877551 20.07562349787495
28.36734693877551 20.607654359101055
29.061224489795915 21.13968522032716
29.755102040816325 21.671716081553264
30.448979591836732 22.203746942779368
31.142857142857142 22.735777804005473
31.836734693877553 23.267808665231577
32.53061224489796 23.799839526457678
33.224489795918366 24.331870387683782
33.91836734693877 24.86390124890989
34.61224489795919 25.395932110135995
35.30612244897959 25.9279629713621
36.0 26.459993832588204
