count nobl hse
44 4.0 45200
44 10.0 7943
43 10.0 17022
43 11.0 6499
43 1.0 43334
42 0.0 87793
42 9.0 28778
41 7.0 42972
41 10.0 35293
41 0.0 90052
41 1.0 48371
41 7.0 49592
41 7.0 45156
40 12.0 14935
40 13.0 33234
39 5.0 45923
39 10.0 52296
39 2.0 52340
39 7.0 40178
38 9.0 46407
38 9.0 43046
38 10.0 19334
38 1.0 52864
38 11.0 23063
38 6.0 3008
38 10.0 27872
37 0.0 73473
37 8.0 58519
37 10.0 22900
37 8.0 51599
37 10.0 38375
37 5.0 52169
36 7.0 56242
36 1.0 63990
36 3.0 52582
36 0.0 76054
36 6.0 49998
36 9.0 60255
35 12.0 63868
35 14.0 10966
35 5.0 50087
35 6.0 52680
35 5.0 77878
35 2.0 60987
35 5.0 47966
35 10.0 48334
35 7.0 52607
35 9.0 18361
34 2.0 95387
34 3.0 54879
34 5.0 44333
34 4.0 64823
34 5.0 69478
33 3.0 62612
33 0.0 114906
33 7.0 47112
33 8.0 45673
32 4.0 61690
32 10.0 42093
32 3.0 59755
32 8.0 55226
32 12.0 44059
31 5.0 59689
31 1.0 66969
31 11.0 61812
31 10.0 11563
31 5.0 42376
31 10.0 45320
31 9.0 49823
31 0.0 95600
30 1.0 58434
30 11.0 30061
30 10.0 14274
30 5.0 63379
30 11.0 19920
30 10.0 25186
29 5.0 82436
29 11.0 41595
29 0.0 77976
29 1.0 61037
29 0.0 93309
29 6.0 69781
29 2.0 55053
28 2.0 66950
28 7.0 66662
28 12.0 39852
28 11.0 68302
28 12.0 32889
28 0.0 82555
27 2.0 82861
27 0.0 111224
27 6.0 54539
27 6.0 63541
27 9.0 52718
27 11.0 35865
27 9.0 68663
27 10.0 60664
27 4.0 67992
27 4.0 83724
26 0.0 98533
26 7.0 63726
26 8.0 79550
26 10.0 69726
26 2.0 63902
26 6.0 60048
26 8.0 62649
25 0.0 157031
25 11.0 48905
25 12.0 4235
25 3.0 57347
25 7.0 74360
25 11.0 26641
25 7.0 59540
25 4.0 59161
25 6.0 73314
24 8.0 2002
24 11.0 52844
24 11.0 45127
24 10.0 56569
24 3.0 79108
24 11.0 38426
23 11.0 17401
23 3.0 66067
23 4.0 74186
23 6.0 66678
23 0.0 119822
23 9.0 4772
23 0.0 85273
23 0.0 105562
23 1.0 70205
23 8.0 75743
23 13.0 50740
23 3.0 76024
23 7.0 70424
23 4.0 71017
23 7.0 79271
23 12.0 26050
22 12.0 69265
22 8.0 84548
22 12.0 57699
22 12.0 49390
22 3.0 71841
22 9.0 64844
22 2.0 91661
22 1.0 72846
22 12.0 29841
22 8.0 66577
22 9.0 55640
22 10.0 65130
21 11.0 75008
21 2.0 79244
21 4.0 101798
21 12.0 36037
21 13.0 42187
21 2.0 73127
21 6.0 57107
21 5.0 73475
21 6.0 90917
20 5.0 95524
20 0.0 107857
20 3.0 91540
20 1.0 76132
20 8.0 70652
20 0.0 101824
20 2.0 98556
20 9.0 83993
20 9.0 1667
19 2.0 115227
19 6.0 81344
19 2.0 136358
19 6.0 76667
19 5.0 91230
19 6.0 84340
19 5.0 66187
18 7.0 97515
18 11.0 57185
18 3.0 86990
18 4.0 94259
18 7.0 92292
18 10.0 3575
18 5.0 86546
18 13.0 45988
18 11.0 86705
17 4.0 88561
17 13.0 25498
17 17.0 15844
17 8.0 111542
17 0.0 123165
17 0.0 167121
17 7.0 84169
17 11.0 11005
17 0.0 133783
17 10.0 78582
17 15.0 69085
16 14.0 49294
16 7.0 87908
16 6.0 101404
16 12.0 22129
16 14.0 55560
16 0.0 141182
16 15.0 23142
16 0.0 179047
16 14.0 31204
16 2.0 70206
15 6.0 110244
15 11.0 32829
15 13.0 105760
15 13.0 56415
15 9.0 73236
15 9.0 77098
15 12.0 53393
15 0.0 136846
15 3.0 68608
15 14.0 81687
15 5.0 122623
15 13.0 38572
15 1.0 117530
15 14.0 60154
14 0.0 161660
14 11.0 94249
14 7.0 106717
14 1.0 84553
14 10.0 89794
14 14.0 74563
14 4.0 128931
14 6.0 93762
14 0.0 184529
14 4.0 77799
14 1.0 89046
14 10.0 84567
14 7.0 112381
14 13.0 73905
14 11.0 90724
14 10.0 73568
14 15.0 39070
14 13.0 29617
14 16.0 46178
13 6.0 170556
13 10.0 100290
13 5.0 105065
13 0.0 146865
13 15.0 91371
13 11.0 116133
13 4.0 106607
13 15.0 43019
13 4.0 112084
13 2.0 121932
13 12.0 76697
13 0.0 151829
13 0.0 195982
13 1.0 93670
13 9.0 80001
13 5.0 99539
12 8.0 88409
12 6.0 105552
12 2.0 109117
12 7.0 101574
12 14.0 35330
12 13.0 63527
12 13.0 78546
12 12.0 18146
12 15.0 82694
12 3.0 83261
12 0.0 172330
12 15.0 99129
12 12.0 87878
12 16.0 82388
12 14.0 91884
12 9.0 119263
12 13.0 84689
12 9.0 88299
12 8.0 94807
12 15.0 34856
12 0.0 125686
12 9.0 92459
12 1.0 122324
12 3.0 115127
11 13.0 88607
11 3.0 96649
11 14.0 159170
11 11.0 82073
11 12.0 105258
11 14.0 43129
11 15.0 63659
11 5.0 142096
11 6.0 127419
11 11.0 2443
11 21.0 112974
11 18.0 68329
11 11.0 99810
11 10.0 135933
11 13.0 149964
11 4.0 136518
11 9.0 102364
11 2.0 104263
11 9.0 150050
