count robl ncl
27 0.2658669537024618 7
27 0.4285412654977872 4
27 0.12102510202391173 10
27 0.6244234160900827 0
27 0.5725888796064235 1
27 0.375 49
26 0.5504290395594743 1
26 0.28293051659822654 7
26 0.05086814967913665 10
26 0.3167843624031575 7
26 0.10624864829574267 9
26 0.3644890197521776 2
26 0.3509401551194577 4
25 0.38292532543713675 5
25 0.13949455072204617 11
25 0.27150430980958945 8
25 0.14573911818303664 14
25 0.33333816654095927 7
25 0.21155116442013508 8
25 0.03866730766665554 8
25 0.18432099046413128 11
24 0.07260315752668857 11
24 0.18656492220820953 10
24 0.3994047619047619 4
24 0.5 8
24 0.22559991555342138 10
24 0.2748002633577729 9
24 0.3746404829738163 4
24 0.06760145046442327 10
24 0.07682215604391729 8
24 0.39975399506649506 5
23 0.28772256486708914 8
23 0.1393259473729275 12
23 0.2922617298473251 9
23 0.2530281526126073 9
22 0.25098287773022127 12
22 0.371194515213654 6
22 0.024584618332159625 8
22 0.05386038381629668 11
22 0.07771011751890315 13
22 0.40417191428308796 7
21 0.21998220002849958 9
21 0.3062210040784707 7
21 0.4462423325732362 5
21 0.20751446397574314 10
21 0.3865716819327436 2
20 0.7152867965367966 0
20 0.11055356282541647 13
20 0.856043956043956 0
20 0.31237631054327675 9
20 0.6130468142968143 5
20 0.44345833333333334 2
20 0.07298158276524645 12
20 0.8571428571428571 46
20 0.09337711315706233 12
20 0.12635271234119752 15
20 0.414851104225275 2
20 0.15225455795966406 13
20 0.583679329321681 0
19 0.12331737891289574 12
19 0.5720278958265228 2
19 0.36503354695915 4
19 0.16208692844429193 14
19 0.05325165443210593 8
19 0.33306443349067283 10
19 0.1645741795032498 20
19 0.3942210838281296 8
19 0.5993808049535604 2
19 0.032514927643679185 10
19 0.15288677344413926 11
19 0.2784419498312498 11
19 0.23556817063939198 15
19 0.1999785843674621 11
19 0.44600573403204985 7
19 0.3554610204377246 6
18 0.23448566179160268 11
18 0.1265158558640178 11
18 0.11094446990956117 12
18 0.423606102088407 6
18 0.2657824985903032 10
18 0.0572161847028293 14
18 0.17579974627667488 17
17 0.08685466067292893 10
17 0.07934461750974962 14
17 0.18686948479328536 16
17 0.4601685780007223 2
17 0.4543862999745352 3
17 0.061818794793090014 15
17 0.6666666666666666 3
16 0.5276727710644653 0
16 0.42414348594481904 8
16 0.19407720117790173 12
16 0.4587861462861463 4
16 0.001901395720889982 18
16 0.29880062985838285 16
16 0.5506461675579323 2
16 0.3386687288171133 11
16 0.33752492359868813 8
16 0.8323863636363636 0
16 0.7512019230769231 5
16 0.5494366744366744 4
16 0.2961790138646163 7
15 0.02849957058923128 11
15 0.21802625078039697 11
15 0.2667744360124292 15
15 0.3066956069669248 10
15 0.3336111111111111 20
15 0.05163182439704787 12
15 0.47318615791617685 1
15 0.11182002831810907 17
15 0.6004195804195803 3
15 0.4568450012017791 6
14 0.20518955904870365 13
14 0.10543114702161303 14
14 0.13414670324961328 13
14 0.5322617085111556 4
14 0.32673433602331686 14
14 0.15591834949098463 16
14 0.2443262785381012 10
14 0.21937907809841609 12
14 0.20667200332868613 14
14 0.22710994471669285 16
14 0.16830899226065274 15
14 0.5533910533910534 3
14 0.24957464767276796 13
14 0.2543872104830467 11
14 0.13967371913388682 17
13 0.18299554380032326 14
13 0.1665557324599039 13
13 0.15900856275143335 18
13 0.26340321955241675 14
13 0.41640703714060073 4
13 0.37871731726830116 7
13 0.09825509364088542 15
13 0.38625904010519396 4
13 0.797542735042735 1
13 0.2942998463310143 15
13 0.4539567270336501 8
13 0.31229896870627105 11
13 0.030640377632340395 13
13 0.2990510766577384 14
13 0.13096958153644192 21
13 0.40476190476190477 28
13 0.7523950408565793 3
13 0.05501304498846557 13
12 0.02052733142054469 12
12 0.18872365149160922 23
12 0.03573301123131534 12
12 0.3251814935282677 12
12 0.5 7
12 0.3399493519060311 9
12 0.19631431030301813 15
12 0.6246871184371184 1
12 0.3847111776862451 13
12 0.5 31
12 0.6999999999999998 61
12 0.20496727253444877 20
12 0.03329015155594902 14
12 0.4666501013727676 3
12 0.2568840092329407 17
12 0.13702603988124015 18
12 0.4421296296296296 3
12 0.5643915343915343 5
12 0.11703087218511123 22
12 0.44170875420875416 4
11 0.034834658727037 15
11 0.28232289597826743 10
11 0.001741012610577828 15
11 0.17947435698379863 18
11 0.7458677685950413 4
11 1.0 4
11 0.09666850800877345 20
11 0.09478123074707501 13
11 0.094839538272597 16
11 0.42391446936901483 12
11 0.2947056606526592 13
11 0.07946982792099234 15
11 0.06613971326189304 16
11 0.11444622914640794 18
11 0.0 17
11 0.4385000442864893 10
11 0.4210858800642082 5
11 0.534419991772933 1
11 0.24773807404067283 19
11 0.7484848484848484 1
11 0.002737731476734409 16
11 0.09445059475177886 19
11 0.7959595959595961 2
10 0.030889162537066157 24
10 0.13769661971292865 24
10 0.6647058823529411 4
10 1.0 5
10 0.13614504404420094 20
10 0.49782608695652175 6
10 0.3705693779904306 9
10 0.2880374116493683 20
10 0.6301365043625106 3
10 0.18410631035631037 13
10 0.3192075871765817 8
10 0.39252747252747255 9
10 1.5 1
9 0.25358525757327954 18
9 0.23407118826498804 14
9 0.2752536210414866 12
9 0.7157287157287158 3
9 0.3498983778869927 19
9 0.22061022034828748 33
9 0.6719666499078263 5
9 0.5727513227513227 4
9 0.6982456140350877 0
9 1.5 0
9 0.15821394498375754 22
9 0.4751839029622738 4
9 0.33432734204793024 13
9 0.7126984126984127 1
9 0.6409769968593498 0
9 0.3605208548065691 12
9 0.36468739044476794 8
9 0.3635849794860764 11
9 0.133256456965788 16
9 0.46830197666110984 5
9 0.11569176927168488 16
9 0.05843238902618944 23
9 0.2206047520259469 22
9 0.036384291502650004 16
9 0.07868198811400925 21
9 0.27109223082535294 13
8 0.03754106675382071 19
8 0.4609357218703861 9
8 0.596396671316748 6
8 0.7354166666666666 14
8 0.1620445259013736 19
8 0.5806451612903226 73
8 0.31187689231461563 13
8 0.2832142546224101 24
8 0.3999269005847953 18
8 0.11210222224415392 35
8 0.06715927570157884 17
8 0.4411764705882353 35
8 1.0 6
8 0.2522934828182951 22
8 0.433995482808508 18
8 0.15636153055501933 23
8 0.14070396231460447 27
8 0.8571428571428571 4
8 0.531746823911003 3
8 0.12781691509523319 14
8 0.4061157238014823 10
7 0.6077306498636321 81
7 0.13210393875418505 19
7 0.08633601553635765 18
7 0.22898938179869116 30
7 0.052873526016939024 30
7 0.1829875985067922 19
7 0.3513848651348651 17
7 1.3333333333333333 0
7 0.2137887098814411 19
7 0.07282515040591689 25
7 0.21749725563605113 24
7 0.09060266261551193 23
7 0.32062460442862895 22
7 0.17481123089057224 27
7 0.09024723139905247 31
7 0.2608444833088325 27
7 0.17679795758379502 38
7 0.3960862266984716 17
7 0.13425362542617583 30
7 0.1355956980235321 26
7 0.8387354941976791 2
7 0.7142857142857143 2
7 0.6281512605042018 22
7 0.21554672967716446 18
7 0.6703296703296703 13
7 0.5983193277310924 4
7 0.11271824153545996 27
7 0.4291668654603864 21
7 0.6926619433198381 3
6 0.6666666666666666 6
6 0.4711406784936196 8
6 0.75 27
6 3.0 2
6 0.047406584182123956 22
6 0.23522293119067314 20
6 0.31875000000000003 17
