robl hsv
0.0523235064078209 1106.8472072823404
0.16009921716140277 964.9363519484201
0.26787492791498463 823.0254966144998
0.3756506386685665 681.1146412805795
0.48342634942214835 539.2037859466592
0.5912020601757302 397.2929306127388
0.6989777709293121 255.38207527881843
0.806753481682894 113.47121994489817
0.9145291924364758 -28.439635389021987
1.0223049031900577 -170.35049072294237
1.1300806139436395 -312.26134605686275
1.2378563246972214 -454.1722013907829
1.3456320354508031 -596.0830567247035
1.4534077462043853 -737.9939120586234
1.5611834569579672 -879.904767392544
1.6689591677115487 -1021.8156227264642
1.7767348784651307 -1163.7264780603844
1.8845105892187126 -1305.637333394305
1.9922862999722946 -1447.548188728225
2.1000620107258765 -1589.4590440621457
2.207837721479458 -1731.3698993960659
2.31561343223304 -1873.280754729986
2.423389142986622 -2015.1916100639062
2.531164853740204 -2157.1024653978266
2.638940564493786 -2299.0133207317476
2.746716275247368 -2440.924176065668
2.854491986000949 -2582.835031399587
2.9622676967545316 -2724.745886733508
3.0700434075081136 -2866.6567420674282
3.1778191182616955 -3008.5675974013484
3.285594829015277 -3150.4784527352685
3.393370539768859 -3292.3893080691887
3.501146250522441 -3434.300163403109
3.608921961276023 -3576.21101873703
3.7166976720296048 -3718.12187407095
3.8244733827831863 -3860.03272940487
3.932249093536768 -4001.9435847387904
4.040024804290351 -4143.8544400727105
4.147800515043932 -4285.765295406632
4.255576225797514 -4427.676150740551
4.363351936551096 -4569.587006074472
4.4711276473046775 -4711.497861408392
4.57890335805826 -4853.408716742312
4.686679068811841 -4995.319572076233
4.794454779565423 -5137.2304274101525
4.902230490319005 -5279.141282744074
5.010006201072587 -5421.052138077994
5.117781911826169 -5562.962993411914
5.225557622579751 -5704.873848745835
5.333333333333333 -5846.784704079755
