count nobl hsv
40 5.0 555
40 4.0 829
40 4.0 901
40 2.0 1361
40 4.0 844
40 4.0 416
40 5.0 793
40 2.0 1234
40 2.0 1480
39 4.0 1168
39 3.0 1239
39 8.0 551
39 4.0 1180
39 4.0 638
39 2.0 1063
39 2.0 1200
39 4.0 1250
39 2.0 1079
39 4.0 745
39 4.0 978
38 5.0 590
38 4.0 1145
38 4.0 1096
38 4.0 539
38 7.0 301
38 3.0 765
38 3.0 1129
37 3.0 1341
37 4.0 1086
37 8.0 655
37 4.0 330
37 2.0 1217
37 2.0 76
37 2.0 1498
37 5.0 929
37 4.0 925
36 4.0 408
36 4.0 916
36 4.0 697
36 6.0 737
36 2.0 1104
36 4.0 382
36 3.0 1177
36 3.0 1438
36 2.0 1452
36 3.0 177
36 2.0 1255
36 5.0 1012
36 3.0 948
36 4.0 1134
36 4.0 1121
36 11.0 1006
35 4.0 424
35 2.0 1072
35 5.0 838
35 8.0 642
35 5.0 864
35 2.0 1427
35 4.0 1109
35 2.0 1226
35 2.0 1144
35 3.0 1159
35 5.0 1134
35 3.0 1318
35 4.0 892
34 4.0 1196
34 4.0 1049
34 4.0 590
34 3.0 1077
34 5.0 919
34 2.0 1010
34 5.0 679
34 6.0 920
34 5.0 1326
34 4.0 1272
34 4.0 1042
34 2.0 1331
34 3.0 1049
34 5.0 653
34 2.0 1526
34 4.0 200
34 5.0 772
33 5.0 630
33 6.0 997
33 2.0 1162
33 5.0 1146
33 6.0 1245
33 6.0 1071
33 3.0 1216
33 5.0 1231
33 3.0 1205
32 3.0 225
32 5.0 618
32 5.0 940
32 3.0 1285
32 6.0 724
32 4.0 185
32 2.0 1168
32 6.0 1059
32 3.0 1327
32 3.0 1353
32 4.0 1261
31 3.0 1087
31 7.0 814
31 2.0 1439
31 5.0 577
31 4.0 645
31 6.0 1011
31 3.0 1566
31 2.0 1542
31 4.0 485
31 5.0 1207
31 4.0 322
31 9.0 628
31 4.0 960
31 3.0 1585
30 5.0 783
30 4.0 1397
30 3.0 1298
30 5.0 454
30 4.0 1241
30 6.0 1044
30 5.0 963
30 5.0 423
30 2.0 65
30 2.0 1372
30 5.0 1121
30 5.0 1301
30 2.0 1394
30 3.0 1309
30 4.0 301
30 3.0 1403
30 5.0 1024
30 5.0 753
30 7.0 964
30 12.0 1071
29 4.0 1055
29 6.0 983
29 4.0 1292
29 3.0 1250
29 5.0 474
29 6.0 658
29 3.0 1227
29 7.0 1057
29 3.0 1168
29 2.0 1283
29 5.0 355
29 2.0 1209
29 6.0 854
29 4.0 862
29 2.0 1292
29 2.0 1467
29 5.0 1047
29 10.0 595
28 7.0 341
28 4.0 292
28 4.0 1206
28 5.0 1560
28 6.0 822
28 6.0 932
28 4.0 1374
28 7.0 1179
28 4.0 1386
28 5.0 991
28 2.0 1560
28 2.0 1384
28 5.0 907
28 4.0 1326
28 5.0 1590
28 4.0 1315
28 4.0 1033
28 2.0 1274
28 3.0 1632
28 2.0 1414
27 5.0 1256
27 3.0 1549
27 7.0 953
27 3.0 1533
27 3.0 1186
27 5.0 886
27 5.0 531
27 2.0 1321
27 2.0 1405
27 6.0 1260
27 5.0 521
26 4.0 1335
26 4.0 945
26 5.0 1244
26 5.0 1438
26 5.0 714
26 3.0 1498
26 6.0 1315
26 5.0 1388
26 5.0 846
26 5.0 1036
26 6.0 1125
26 11.0 691
26 4.0 1016
26 4.0 1431
26 4.0 1214
26 6.0 796
26 3.0 155
26 6.0 867
26 3.0 1372
25 6.0 762
25 5.0 1425
25 8.0 1348
25 5.0 662
25 7.0 1036
25 3.0 1600
25 5.0 1315
25 4.0 223
25 5.0 1219
25 8.0 1005
25 5.0 484
25 6.0 962
25 4.0 1191
25 4.0 937
25 5.0 441
25 4.0 1410
25 2.0 51
25 6.0 908
25 5.0 601
25 5.0 1413
24 3.0 144
24 4.0 1345
24 5.0 1487
24 6.0 1210
24 5.0 671
24 2.0 1265
24 5.0 494
24 5.0 972
24 6.0 749
24 2.0 1353
24 6.0 1087
24 7.0 601
24 6.0 1441
24 5.0 1177
24 6.0 842
24 6.0 1414
24 2.0 1699
24 3.0 1521
24 6.0 1328
24 4.0 1303
24 3.0 1427
24 4.0 1442
24 2.0 1634
24 5.0 1166
24 6.0 710
24 5.0 1187
24 6.0 1352
23 8.0 1082
23 6.0 1286
23 3.0 2000
23 4.0 1752
23 5.0 566
23 4.0 1422
23 5.0 542
23 3.0 186
23 6.0 953
23 5.0 1981
23 4.0 1962
23 6.0 1112
23 2.0 1751
23 6.0 772
23 6.0 783
23 7.0 1450
23 4.0 250
23 2.0 1813
23 5.0 1519
23 6.0 568
23 4.0 1786
23 4.0 1486
23 4.0 1520
23 4.0 1231
23 4.0 1473
22 6.0 669
22 4.0 1356
22 7.0 1256
22 12.0 658
22 4.0 1457
22 6.0 583
22 6.0 1653
22 4.0 932
22 5.0 1268
22 6.0 688
22 6.0 886
22 3.0 1461
22 7.0 1211
22 5.0 1158
22 4.0 1736
22 7.0 898
21 7.0 700
21 5.0 1472
21 7.0 1162
21 4.0 1592
21 3.0 1743
21 4.0 1670
21 5.0 1350
21 6.0 897
21 9.0 569
21 4.0 346
21 5.0 705
21 5.0 1449
21 8.0 1273
21 7.0 921
21 5.0 609
21 5.0 511
21 2.0 1514
21 7.0 784
21 5.0 314
21 6.0 1138
21 3.0 1485
21 5.0 1196
21 2.0 1610
21 4.0 264
21 5.0 982
20 7.0 1286
20 4.0 1222
20 4.0 1507
20 9.0 837
20 4.0 1646
20 6.0 1590
20 6.0 1530
20 6.0 1788
20 3.0 1507
20 6.0 1102
20 6.0 833
20 2.0 1597
20 5.0 332
20 5.0 1677
20 6.0 1512
20 7.0 874
20 3.0 1899
20 6.0 646
20 4.0 1533
20 5.0 1373
20 3.0 1728
20 4.0 1366
20 7.0 1771
20 6.0 1164
19 3.0 1419
19 3.0 1450
19 2.0 1769
19 5.0 1402
19 5.0 1573
19 4.0 1284
19 6.0 618
19 4.0 1706
19 6.0 1150
19 3.0 1471
19 2.0 1732
19 6.0 540
19 5.0 1758
19 4.0 161
19 6.0 812
19 6.0 630
18 2.0 1683
18 6.0 1612
18 7.0 761
18 6.0 553
18 3.0 1363
18 7.0 561
18 5.0 289
18 6.0 1234
18 3.0 104
18 7.0 1400
18 2.0 1845
18 7.0 1316
18 7.0 1469
18 7.0 1359
18 6.0 1805
18 3.0 1392
18 6.0 1474
18 8.0 1367
18 5.0 395
18 6.0 1340
18 4.0 1496
18 4.0 1634
18 3.0 1786
18 3.0 119
18 3.0 1916
18 2.0 1622
18 8.0 827
18 5.0 1291
18 4.0 274
18 4.0 282
18 6.0 974
17 5.0 1664
17 2.0 2093
17 6.0 699
17 7.0 1678
17 3.0 1822
17 7.0 646
17 4.0 1580
17 5.0 1616
17 4.0 1656
17 7.0 1631
17 4.0 1544
17 5.0 1689
17 8.0 1431
17 5.0 1786
17 7.0 1240
17 6.0 1389
17 6.0 1187
17 5.0 343
17 7.0 1145
17 5.0 1545
17 6.0 1634
17 9.0 1663
17 7.0 1131
17 5.0 464
17 5.0 1704
17 6.0 1221
17 3.0 1843
17 6.0 1299
17 6.0 1671
17 6.0 1368
17 6.0 1456
17 5.0 370
