robl hsd
0.0 7.1839808274017045
0.22448979591836732 9.617678793555482
0.44897959183673464 12.05137675970926
0.673469387755102 14.48507472586304
0.8979591836734693 16.918772692016816
1.1224489795918366 19.352470658170596
1.346938775510204 21.786168624324375
1.5714285714285714 24.21986659047815
1.7959183673469385 26.65356455663193
2.020408163265306 29.087262522785707
2.2448979591836733 31.520960488939487
2.4693877551020402 33.954658455093266
2.693877551020408 36.38835642124704
2.918367346938775 38.82205438740082
3.142857142857143 41.2557523535546
3.3673469387755097 43.68945031970837
3.591836734693877 46.12314828586216
3.816326530612245 48.55684625201594
4.040816326530612 50.99054421816971
4.26530612244898 53.42424218432349
4.489795918367347 55.85794015047727
4.7142857142857135 58.29163811663105
4.9387755102040805 60.72533608278482
5.163265306122448 63.1590340489386
5.387755102040816 65.59273201509238
5.612244897959184 68.02642998124617
5.83673469387755 70.46012794739994
6.061224489795918 72.89382591355371
6.285714285714286 75.32752387970748
6.5102040816326525 77.76122184586129
6.7346938775510194 80.19491981201503
6.959183673469386 82.62861777816883
7.183673469387754 85.0623157443226
7.408163265306122 87.49601371047638
7.63265306122449 89.92971167663018
7.857142857142856 92.36340964278392
8.081632653061224 94.79710760893772
8.306122448979592 97.2308055750915
8.53061224489796 99.66450354124527
8.755102040816325 102.09820150739904
8.979591836734693 104.53189947355284
9.204081632653061 106.96559743970661
9.428571428571427 109.39929540586039
9.653061224489795 111.83299337201416
9.877551020408161 114.26669133816793
10.102040816326529 116.70038930432173
10.326530612244897 119.1340872704755
10.551020408163264 121.56778523662928
10.775510204081632 124.00148320278305
11.0 126.43518116893685
